Step,Loss,LearningRate,Epoch,StepDuration_Seconds
10,8.5388,1.00e-06,1,1.1363
20,8.4082,2.00e-06,1,1.1855
30,8.4910,3.00e-06,1,1.0201
40,8.5875,4.00e-06,1,1.1181
50,8.2894,5.00e-06,2,1.0575
60,8.2552,6.00e-06,2,1.0656
70,8.4932,7.00e-06,2,1.0604
80,8.3378,8.00e-06,2,1.0468
90,8.1189,9.00e-06,2,1.0924
100,8.2376,1.00e-05,3,1.0485
110,8.0538,1.00e-05,3,1.1035
120,8.0209,1.00e-05,3,1.0875
130,8.0948,1.00e-05,3,1.0781
140,7.7395,1.00e-05,3,1.0446
150,7.7360,1.00e-05,4,1.0612
160,7.8789,1.00e-05,4,1.1278
170,7.7801,1.00e-05,4,1.1150
180,7.9482,9.99e-06,4,1.0411
190,7.7341,9.99e-06,4,1.0950
200,7.6280,9.99e-06,5,1.1276
210,8.0295,9.99e-06,5,1.0065
220,7.7458,9.99e-06,5,1.1172
230,7.7601,9.98e-06,5,1.0569
240,7.5068,9.98e-06,5,1.1185
250,7.6097,9.98e-06,6,1.0518
260,7.6790,9.98e-06,6,0.9998
270,7.4610,9.97e-06,6,1.0086
280,7.6615,9.97e-06,6,1.0924
290,7.4868,9.97e-06,6,1.1030
300,7.5051,9.96e-06,7,1.0448
310,7.4308,9.96e-06,7,1.1219
320,7.7713,9.96e-06,7,1.0069
330,7.4641,9.95e-06,7,1.0867
340,7.2804,9.95e-06,7,1.0294
350,7.5356,9.94e-06,8,1.0574
360,7.2024,9.94e-06,8,1.0924
370,7.3904,9.93e-06,8,1.0470
380,7.0389,9.93e-06,8,1.0708
390,7.1076,9.92e-06,8,1.1403
400,7.3106,9.92e-06,9,1.0612
410,7.3663,9.91e-06,9,1.1318
420,7.2559,9.91e-06,9,1.0335
430,7.1877,9.90e-06,9,1.1165
440,7.1349,9.89e-06,9,1.1621
450,6.9336,9.89e-06,10,0.9664
460,7.0228,9.88e-06,10,1.0502
470,7.0374,9.87e-06,10,1.1189
480,7.2409,9.87e-06,10,1.0798
490,7.1100,9.86e-06,10,1.1086
500,6.7703,9.85e-06,11,1.0598
510,7.0598,9.85e-06,11,1.0943
520,6.9301,9.84e-06,11,1.0822
530,6.8632,9.83e-06,11,1.1484
540,7.0336,9.82e-06,11,1.1027
550,7.0737,9.81e-06,12,1.1069
560,7.0362,9.81e-06,12,1.0694
570,6.7482,9.80e-06,12,1.0656
580,6.8055,9.79e-06,12,1.0684
590,6.8796,9.78e-06,12,1.1097
600,6.9544,9.77e-06,13,1.0690
610,6.7146,9.76e-06,13,1.1045
620,6.7371,9.75e-06,13,1.1938
630,6.5777,9.74e-06,13,1.1336
640,6.5431,9.73e-06,13,1.0737
650,6.8235,9.72e-06,14,1.1501
660,6.8843,9.71e-06,14,1.0696
670,6.6495,9.70e-06,14,0.9881
680,6.7904,9.69e-06,14,1.0396
690,6.6739,9.68e-06,14,0.9965
700,6.5028,9.67e-06,15,1.0724
710,6.6338,9.66e-06,15,1.0909
720,6.7906,9.65e-06,15,1.1738
730,6.5349,9.64e-06,15,1.1063
740,6.7556,9.63e-06,15,1.0790
750,6.1087,9.61e-06,16,1.1315
760,6.6058,9.60e-06,16,0.9794
770,6.4766,9.59e-06,16,1.1018
780,6.3999,9.58e-06,16,1.1285
790,6.4399,9.57e-06,16,1.0161
800,6.1096,9.55e-06,17,1.1472
810,6.3564,9.54e-06,17,1.1069
820,6.4248,9.53e-06,17,1.0692
830,6.5749,9.52e-06,17,1.1216
840,6.2576,9.50e-06,17,1.2035
850,6.1963,9.49e-06,18,1.0991
860,6.2248,9.48e-06,18,1.1024
870,6.4199,9.46e-06,18,1.0670
880,6.3146,9.45e-06,18,1.0475
890,6.1687,9.44e-06,18,1.1315
900,6.3082,9.42e-06,19,1.0472
910,6.2289,9.41e-06,19,1.0936
920,6.3429,9.39e-06,19,1.0661
930,6.0757,9.38e-06,19,1.1139
940,6.1154,9.36e-06,19,1.1067
950,6.0895,9.35e-06,20,1.1419
960,5.9126,9.33e-06,20,1.0645
970,6.1605,9.32e-06,20,1.0765
980,6.1393,9.30e-06,20,1.0411
990,6.0852,9.29e-06,20,1.0678
1000,6.0336,9.27e-06,21,1.1089
1010,5.8410,9.26e-06,21,1.1278
1020,5.9748,9.24e-06,21,1.0439
1030,5.9712,9.22e-06,21,1.1335
1040,5.8872,9.21e-06,21,1.1578
1050,5.9683,9.19e-06,22,1.1107
1060,6.0382,9.17e-06,22,1.1838
1070,6.2458,9.16e-06,22,1.0513
1080,5.9744,9.14e-06,22,1.0278
1090,5.9724,9.12e-06,22,1.0011
1100,5.9082,9.11e-06,23,1.1648
1110,5.6173,9.09e-06,23,1.1227
1120,5.8870,9.07e-06,23,1.0872
1130,5.8859,9.05e-06,23,1.1040
1140,6.2325,9.04e-06,23,1.0337
1150,5.8203,9.02e-06,24,1.2123
1160,5.8807,9.00e-06,24,1.0965
1170,5.8167,8.98e-06,24,1.0955
1180,5.6332,8.96e-06,24,1.1263
1190,5.9665,8.95e-06,24,1.1141
1200,5.8947,8.93e-06,25,1.1012
1210,5.8874,8.91e-06,25,1.0505
1220,5.6193,8.89e-06,25,1.1136
1230,5.9532,8.87e-06,25,1.1841
1240,5.5197,8.85e-06,25,1.1573
1250,5.8054,8.83e-06,26,1.1697
1260,6.0333,8.81e-06,26,1.0644
1270,5.5437,8.79e-06,26,1.0405
1280,5.5949,8.77e-06,26,1.0837
1290,5.6825,8.75e-06,26,1.0928
1300,5.5799,8.73e-06,27,1.1447
1310,5.4107,8.71e-06,27,1.0054
1320,5.6416,8.69e-06,27,1.1665
1330,5.4601,8.67e-06,27,1.0821
1340,5.6787,8.65e-06,27,1.0687
1350,5.4581,8.63e-06,28,1.0394
1360,5.8169,8.61e-06,28,1.0073
1370,5.4554,8.59e-06,28,1.1312
1380,5.5132,8.57e-06,28,1.0937
1390,5.6723,8.55e-06,28,1.0255
1400,5.3544,8.53e-06,29,1.0252
1410,5.5620,8.50e-06,29,1.0732
1420,5.7130,8.48e-06,29,1.1735
1430,5.2649,8.46e-06,29,1.0770
1440,5.5228,8.44e-06,29,1.0148
1450,5.5234,8.42e-06,30,1.0777
1460,5.5910,8.39e-06,30,1.0764
1470,5.2776,8.37e-06,30,0.9552
1480,5.2546,8.35e-06,30,1.0873
1490,5.5206,8.33e-06,30,1.0785
1500,5.4765,8.31e-06,31,1.1248
1510,5.4593,8.28e-06,31,1.1824
1520,5.4636,8.26e-06,31,1.1463
1530,5.2995,8.24e-06,31,1.0766
1540,5.4264,8.21e-06,31,1.0347
1550,5.4257,8.19e-06,32,1.2187
1560,5.2647,8.17e-06,32,1.0930
1570,5.6420,8.15e-06,32,1.0907
1580,5.4236,8.12e-06,32,1.0888
1590,5.1643,8.10e-06,32,1.0999
1600,5.4320,8.07e-06,33,1.0828
1610,5.1779,8.05e-06,33,1.0613
1620,5.4328,8.03e-06,33,1.0627
1630,5.4793,8.00e-06,33,1.0884
1640,5.1732,7.98e-06,33,1.0628
1650,5.4317,7.95e-06,34,1.0544
1660,5.3401,7.93e-06,34,1.0953
1670,5.3925,7.91e-06,34,1.0773
1680,5.5449,7.88e-06,34,1.1652
1690,5.2148,7.86e-06,34,0.9575
1700,5.1298,7.83e-06,35,1.1446
1710,5.1008,7.81e-06,35,1.1523
1720,5.1032,7.78e-06,35,0.9863
